step,epoch,loss_jepa,loss_drift,loss_total,lr,grad_norm,throughput
0,0,1.632766,0.000000,1.632766,1.25e-06,1.4151,0.02
1,0,1.636728,0.000000,1.636728,2.50e-06,1.4017,0.04
2,0,1.637721,0.000001,1.637722,3.75e-06,1.3122,0.04
3,0,1.648296,0.000006,1.648302,5.00e-06,1.4271,0.04
4,0,1.664080,0.000020,1.664101,6.25e-06,2.1657,0.04
5,0,1.656862,0.000050,1.656912,7.50e-06,1.4626,0.05
6,0,1.604885,0.000104,1.604988,8.75e-06,0.4229,0.05
7,0,1.582074,0.000183,1.582257,1.00e-05,0.4858,0.04
8,0,1.593217,0.000296,1.593513,1.00e-05,0.4508,0.03
9,0,1.596877,0.000439,1.597316,9.98e-06,0.4142,0.04
10,0,1.575592,0.000586,1.576178,9.96e-06,0.4297,0.04
11,0,1.559982,0.000725,1.560706,9.92e-06,0.5372,0.04
12,0,1.567343,0.000855,1.568198,9.88e-06,0.2805,0.04
13,0,1.550614,0.000974,1.551589,9.83e-06,0.1926,0.04
14,0,1.559022,0.001085,1.560107,9.77e-06,0.2103,0.04
15,0,1.595705,0.001185,1.596890,9.70e-06,0.2563,0.04
16,0,1.576049,0.001272,1.577321,9.62e-06,0.1492,0.03
17,0,1.563279,0.001353,1.564632,9.53e-06,0.1066,0.04
18,0,1.568188,0.001429,1.569617,9.44e-06,0.1218,0.04
19,0,1.565671,0.001498,1.567169,9.33e-06,0.1132,0.04
20,0,1.564730,0.001564,1.566295,9.22e-06,0.1095,0.04
21,0,1.540233,0.001623,1.541856,9.10e-06,0.1043,0.04
22,0,1.534613,0.001673,1.536286,8.97e-06,0.1139,0.04
23,0,1.542747,0.001714,1.544461,8.83e-06,0.1033,0.04
24,0,1.562780,0.001750,1.564530,8.69e-06,0.1035,0.03
25,0,1.563341,0.001783,1.565125,8.54e-06,0.1215,0.04
26,0,1.552116,0.001814,1.553930,8.38e-06,0.0958,0.04
27,0,1.550787,0.001841,1.552629,8.21e-06,0.1083,0.04
28,0,1.570197,0.001865,1.572061,8.04e-06,0.1019,0.04
29,0,1.563212,0.001884,1.565095,7.87e-06,0.0818,0.04
30,0,1.557561,0.001899,1.559460,7.69e-06,0.0876,0.04
31,0,1.548694,0.001910,1.550604,7.50e-06,0.1373,0.04
32,0,1.550390,0.001917,1.552307,7.31e-06,0.0887,0.03
33,0,1.547323,0.001923,1.549246,7.11e-06,0.0845,0.04
34,0,1.548943,0.001924,1.550867,6.91e-06,0.0736,0.04
35,0,1.551260,0.001923,1.553182,6.71e-06,0.0842,0.04
36,0,1.536651,0.001919,1.538570,6.50e-06,0.0991,0.04
37,0,1.552150,0.001914,1.554064,6.29e-06,0.0877,0.04
38,0,1.537404,0.001909,1.539314,6.08e-06,0.0815,0.04
39,0,1.532150,0.001904,1.534054,5.87e-06,0.0720,0.04
40,0,1.499557,0.001896,1.501453,5.65e-06,0.0982,0.03
41,0,1.550998,0.001887,1.552886,5.44e-06,0.1015,0.05
42,0,1.529055,0.001879,1.530934,5.22e-06,0.0813,0.04
43,0,1.533440,0.001871,1.535311,5.00e-06,0.0858,0.04
44,0,1.545852,0.001862,1.547714,4.78e-06,0.0781,0.04
45,0,1.570283,0.001853,1.572136,4.56e-06,0.0921,0.04
46,0,1.549681,0.001845,1.551527,4.35e-06,0.0941,0.04
47,0,1.528685,0.001839,1.530524,4.13e-06,0.1078,0.04
48,0,1.517260,0.001832,1.519092,3.92e-06,0.0906,0.03
49,0,1.522012,0.001825,1.523837,3.71e-06,0.0841,0.04
50,0,1.529037,0.001818,1.530855,3.50e-06,0.0741,0.04
51,0,1.522801,0.001811,1.524612,3.29e-06,0.0764,0.05
52,0,1.532044,0.001804,1.533848,3.09e-06,0.0909,0.04
53,0,1.532993,0.001797,1.534790,2.89e-06,0.1043,0.04
54,0,1.536577,0.001790,1.538367,2.69e-06,0.0746,0.04
55,0,1.543995,0.001783,1.545778,2.50e-06,0.0900,0.04
56,0,1.524559,0.001776,1.526334,2.31e-06,0.0881,0.03
57,0,1.536942,0.001769,1.538711,2.13e-06,0.0939,0.04
58,0,1.506094,0.001762,1.507856,1.96e-06,0.0868,0.04
59,0,1.533011,0.001756,1.534767,1.79e-06,0.0750,0.04
60,0,1.539993,0.001749,1.541742,1.62e-06,0.0971,0.04
61,0,1.516207,0.001744,1.517951,1.46e-06,0.9273,0.04
62,0,1.546052,0.001738,1.547790,1.31e-06,0.0757,0.04
63,0,1.523838,0.001734,1.525571,1.17e-06,0.0944,0.04
64,0,1.529540,0.001729,1.531269,1.03e-06,0.0708,0.03
65,0,1.527916,0.001725,1.529641,9.04e-07,0.6126,0.04
66,0,1.531457,0.001721,1.533178,7.83e-07,0.0742,0.04
67,0,1.519145,0.001718,1.520864,6.70e-07,0.0739,0.04
68,0,1.521264,0.001716,1.522980,5.65e-07,0.1037,0.04
69,0,1.512250,0.001713,1.513963,4.68e-07,0.0770,0.04
70,0,1.499761,0.001711,1.501472,3.81e-07,0.0943,0.04
71,0,1.515132,0.001709,1.516842,3.02e-07,0.2452,0.04
72,0,1.535680,0.001708,1.537388,2.31e-07,0.0697,0.03
73,0,1.510233,0.001706,1.511940,1.70e-07,0.0874,0.04
74,0,1.519652,0.001705,1.521358,1.19e-07,0.0659,0.04
75,0,1.525005,0.001705,1.526710,1.00e-07,0.0919,0.05
76,0,1.535541,0.001704,1.537245,1.00e-07,0.0793,0.04
77,0,1.533587,0.001704,1.535290,1.00e-07,0.0707,0.04
78,0,1.541888,0.001703,1.543591,1.00e-07,0.0738,0.04
79,0,1.530600,0.001703,1.532303,1.00e-07,0.0864,0.04
0,0,1.634425,0.000000,1.634425,2.50e-07,1.3978,0.02
1,0,1.631169,0.000000,1.631169,5.00e-07,1.4460,0.05
2,0,1.642177,0.000000,1.642177,7.50e-07,1.4567,0.04
3,0,1.653326,0.000000,1.653326,1.00e-06,1.3982,0.04
4,0,1.679135,0.000001,1.679136,1.25e-06,1.5569,0.04
5,0,1.678814,0.000002,1.678816,1.50e-06,1.2315,0.04
6,0,1.633183,0.000004,1.633187,1.75e-06,1.2398,0.05
7,0,1.619287,0.000008,1.619295,2.00e-06,1.3114,0.04
8,0,1.636178,0.000014,1.636192,2.25e-06,1.5192,0.03
9,0,1.652005,0.000022,1.652027,2.50e-06,1.6816,0.04
10,0,1.638672,0.000034,1.638706,2.75e-06,1.1172,0.04
11,0,1.608150,0.000049,1.608199,3.00e-06,0.6197,0.04
12,0,1.606153,0.000068,1.606221,3.25e-06,0.4212,0.04
13,0,1.602832,0.000091,1.602923,3.50e-06,0.4276,0.05
14,0,1.607124,0.000119,1.607243,3.75e-06,0.3547,0.05
15,0,1.638934,0.000153,1.639087,4.00e-06,0.5432,0.04
16,0,1.623031,0.000193,1.623224,4.25e-06,0.6636,0.03
17,0,1.593464,0.000238,1.593701,4.50e-06,0.5470,0.04
